id,group,term,old_answer,new_answer
VGIK-SOUND-00501,TERMS_USE,характер,"Не просто дать определение, а показать, где в твоей киноверсии или анализе проявляется характер: в кадре, действии, звуке, паузе или монтажном переходе.",в киноверсии характер врача виден по переходу от пауз к коротким рабочим распоряжениям
VGIK-SOUND-00503,TERMS_USE,конфликт,"Не просто дать определение, а показать, где в твоей киноверсии или анализе проявляется конфликт: в кадре, действии, звуке, паузе или монтажном переходе.",в киноверсии конфликт слышен как переход от тревожного приезда к сдержанной работе в операционной
VGIK-SOUND-00505,TERMS_USE,событие,"Не просто дать определение, а показать, где в твоей киноверсии или анализе проявляется событие: в кадре, действии, звуке, паузе или монтажном переходе.",событие в киноверсии — операция и утреннее полотенце как итог ночной работы
VGIK-SOUND-00507,TERMS_USE,драматическая ситуация,"Не просто дать определение, а показать, где в твоей киноверсии или анализе проявляется драматическая ситуация: в кадре, действии, звуке, паузе или монтажном переходе.","драматическая ситуация — ребёнка привозят ночью, врач должен решить и действовать"
VGIK-SOUND-00509,TERMS_USE,плановость,"Не просто дать определение, а показать, где в твоей киноверсии или анализе проявляется плановость: в кадре, действии, звуке, паузе или монтажном переходе.","плановость слышна в смене дистанций: дорога, коридор, дверь операционной, близкие предметы операции"
VGIK-SOUND-00511,TERMS_USE,монтаж,"Не просто дать определение, а показать, где в твоей киноверсии или анализе проявляется монтаж: в кадре, действии, звуке, паузе или монтажном переходе.","монтаж связан со сменой звуковых сред: дорога, больничный коридор, операция, утро"
VGIK-SOUND-00513,TERMS_USE,звуковое решение,"Не просто дать определение, а показать, где в твоей киноверсии или анализе проявляется звуковое решение: в кадре, действии, звуке, паузе или монтажном переходе.","звуковое решение строится на реальных источниках: снег, дверь, часы, вода, ткань, металл, дыхание"
VGIK-SOUND-00515,TERMS_USE,фонограмма,"Не просто дать определение, а показать, где в твоей киноверсии или анализе проявляется фонограмма: в кадре, действии, звуке, паузе или монтажном переходе.","фонограмма киноверсии собирается из речи, синхронных шумов, фонов дороги и больницы"
VGIK-SOUND-00517,TERMS_USE,атмосфера,"Не просто дать определение, а показать, где в твоей киноверсии или анализе проявляется атмосфера: в кадре, действии, звуке, паузе или монтажном переходе.",атмосфера в киноверсии создаётся источниками места: холодная дорога и сухое больничное пространство
VGIK-SOUND-00519,TERMS_USE,лейтмотив,"Не просто дать определение, а показать, где в твоей киноверсии или анализе проявляется лейтмотив: в кадре, действии, звуке, паузе или монтажном переходе.","в киноверсии осторожный лейтмотив — ткань: простыня, перевязка, полотенце в финале"
VGIK-SOUND-00521,TERMS_USE,контрапункт,"Не просто дать определение, а показать, где в твоей киноверсии или анализе проявляется контрапункт: в кадре, действии, звуке, паузе или монтажном переходе.","контрапункт проявляется в ожидании матери: за дверью тихо, внутри идёт операция"
VGIK-SOUND-00523,TERMS_USE,синхрон,"Не просто дать определение, а показать, где в твоей киноверсии или анализе проявляется синхрон: в кадре, действии, звуке, паузе или монтажном переходе.","синхрон — видимые действия и их звук: шаги, дверь, вода, ткань, металлический лоток"
VGIK-SOUND-00525,TERMS_USE,внекадровый звук,"Не просто дать определение, а показать, где в твоей киноверсии или анализе проявляется внекадровый звук: в кадре, действии, звуке, паузе или монтажном переходе.","внекадровый звук — голоса и рабочие шумы операции, слышные матери за дверью"
VGIK-SOUND-00527,TERMS_USE,закадровый звук,"Не просто дать определение, а показать, где в твоей киноверсии или анализе проявляется закадровый звук: в кадре, действии, звуке, паузе или монтажном переходе.",закадровый комментарий в киноверсии не нужен; смысл дают синхрон и внекадровые звуки
VGIK-SOUND-00529,TERMS_USE,шумовая фактура,"Не просто дать определение, а показать, где в твоей киноверсии или анализе проявляется шумовая фактура: в кадре, действии, звуке, паузе или монтажном переходе.","шумовая фактура — снег, полозья, деревянный пол, дверь, вода, ткань, металл"
VGIK-SOUND-00531,TERMS_USE,реверберация,"Не просто дать определение, а показать, где в твоей киноверсии или анализе проявляется реверберация: в кадре, действии, звуке, паузе или монтажном переходе.","реверберация может различать коридор, палату и операционную без специального эффекта"
VGIK-SOUND-00533,TERMS_USE,эхо,"Не просто дать определение, а показать, где в твоей киноверсии или анализе проявляется эхо: в кадре, действии, звуке, паузе или монтажном переходе.",эхо не является главным приёмом; допустимы только слабые отражения коридора и закрытого пространства
VGIK-SOUND-00535,TERMS_USE,тембр,"Не просто дать определение, а показать, где в твоей киноверсии или анализе проявляется тембр: в кадре, действии, звуке, паузе или монтажном переходе.","тембр проявляется в голосах врача, матери и фельдшера, а также в звуке ткани и металла"
VGIK-SOUND-00537,TERMS_USE,громкость,"Не просто дать определение, а показать, где в твоей киноверсии или анализе проявляется громкость: в кадре, действии, звуке, паузе или монтажном переходе.","громкость меняется по дистанции: дорога шире, операция ближе, ожидание за дверью приглушено"
VGIK-SOUND-00539,TERMS_USE,высота звука,"Не просто дать определение, а показать, где в твоей киноверсии или анализе проявляется высота звука: в кадре, действии, звуке, паузе или монтажном переходе.","высота звука в киноверсии заметна прежде всего в голосах, а в анализе — в романсах Ларисы"
VGIK-SOUND-00560,TRAPS,,"Нет. Нужна экранная версия с действием, монтажом и звуком.","нет; таблица должна показывать действие, кадр, звук и развитие рабочей ситуации"
VGIK-SOUND-00561,TRAPS,,"Это слабый вариант. Нужна концепция звука, связанная с конфликтом.","нет; звук должен вести конфликт ответственности врача через дорогу, ожидание и операцию"
VGIK-SOUND-00562,TRAPS,,Нет. Ограничения по объёму лучше соблюдать.,"нет; объём и форма должны соответствовать требованиям папки, без лишних сцен и персонажей"
VGIK-SOUND-00563,TRAPS,,Нет. Нужно объяснить конкретные источники и функцию.,нет; нужно назвать источник звука и его функцию в сцене
VGIK-SOUND-00565,TRAPS,,"Это слабый ответ. Нужны сцены, источники и звуковые детали.","нет; нужно называть сцены и звуковые элементы: романс, голос, Волга, гудок, пауза"
VGIK-SOUND-00568,TRAPS,,Нет. Реализм может строить пространство и социальную среду.,нет; реалистичный звук может строить конфликт через точные источники и дистанцию
