id,action,reason,question
VGIK-SOUND-00026,removed,шаблонный/бесполезный вопрос,Кто автор рассказа «Материнское сердце»?
VGIK-SOUND-00033,removed,шаблонный/бесполезный вопрос,Кто автор рассказа «Завтраки 43-го года»?
VGIK-SOUND-00040,removed,шаблонный/бесполезный вопрос,Кто автор рассказа «Ворота Расемон»?
VGIK-SOUND-00047,removed,шаблонный/бесполезный вопрос,Кто автор рассказа «Полотенце с петухом»?
VGIK-SOUND-00054,removed,шаблонный/бесполезный вопрос,Кто автор рассказа «Вечер»?
VGIK-SOUND-00061,removed,шаблонный/бесполезный вопрос,Кто автор рассказа «Мальва»?
VGIK-SOUND-00068,removed,шаблонный/бесполезный вопрос,Кто автор рассказа «У парадного подъезда»?
VGIK-SOUND-00075,removed,шаблонный/бесполезный вопрос,Кто автор рассказа «Куст сирени»?
VGIK-SOUND-00082,removed,шаблонный/бесполезный вопрос,Кто автор рассказа «Объездчик»?
VGIK-SOUND-00089,removed,шаблонный/бесполезный вопрос,Кто автор рассказа «Снег»?
VGIK-SOUND-00096,removed,шаблонный/бесполезный вопрос,Кто автор рассказа «Свидание»?
VGIK-SOUND-00103,removed,шаблонный/бесполезный вопрос,Кто автор рассказа «Третий сын»?
VGIK-SOUND-00110,removed,шаблонный/бесполезный вопрос,Кто автор рассказа «Ворон»?
VGIK-SOUND-00117,removed,шаблонный/бесполезный вопрос,Кто автор рассказа «Нахлебники»?
VGIK-SOUND-00124,removed,шаблонный/бесполезный вопрос,Кто автор рассказа «Алина»?
VGIK-SOUND-00131,removed,шаблонный/бесполезный вопрос,Кто автор рассказа «Филиппинец и пьяный»?
VGIK-SOUND-00138,removed,шаблонный/бесполезный вопрос,Кто автор рассказа «Укрощение велосипеда»?
VGIK-SOUND-00145,removed,шаблонный/бесполезный вопрос,Кто автор рассказа «Про отца»?
VGIK-SOUND-00152,removed,шаблонный/бесполезный вопрос,Кто автор рассказа «Амок»?
VGIK-SOUND-00159,removed,шаблонный/бесполезный вопрос,Кто автор рассказа «Волки»?
VGIK-SOUND-00166,removed,низкая ценность или старый автонабор,К какой зоне подготовки ближе «Сюжеты и образы Древнерусской живописи»?
VGIK-SOUND-00167,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,Кто автор/составитель «Сюжеты и образы Древнерусской живописи»?
VGIK-SOUND-00168,removed,низкая ценность или старый автонабор,Как использовать «Сюжеты и образы Древнерусской живописи» на собеседовании?
VGIK-SOUND-00169,removed,низкая ценность или старый автонабор,К какой зоне подготовки ближе «История русской культуры»?
VGIK-SOUND-00170,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,Кто автор/составитель «История русской культуры»?
VGIK-SOUND-00171,removed,низкая ценность или старый автонабор,Как использовать «История русской культуры» на собеседовании?
VGIK-SOUND-00172,removed,низкая ценность или старый автонабор,"К какой зоне подготовки ближе «Все, что было не со мной, помню»?"
VGIK-SOUND-00173,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,"Кто автор/составитель «Все, что было не со мной, помню»?"
VGIK-SOUND-00174,removed,низкая ценность или старый автонабор,"Как использовать «Все, что было не со мной, помню» на собеседовании?"
VGIK-SOUND-00175,removed,низкая ценность или старый автонабор,К какой зоне подготовки ближе «История советского кино»?
VGIK-SOUND-00176,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,Кто автор/составитель «История советского кино»?
VGIK-SOUND-00177,removed,низкая ценность или старый автонабор,Как использовать «История советского кино» на собеседовании?
VGIK-SOUND-00178,removed,низкая ценность или старый автонабор,К какой зоне подготовки ближе «Кино. Энциклопедический словарь»?
VGIK-SOUND-00179,removed,низкая ценность или старый автонабор,Как использовать «Кино. Энциклопедический словарь» на собеседовании?
VGIK-SOUND-00180,removed,низкая ценность или старый автонабор,К какой зоне подготовки ближе «Основы кинорежиссуры»?
VGIK-SOUND-00181,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,Кто автор/составитель «Основы кинорежиссуры»?
VGIK-SOUND-00182,removed,низкая ценность или старый автонабор,Как использовать «Основы кинорежиссуры» на собеседовании?
VGIK-SOUND-00183,removed,низкая ценность или старый автонабор,К какой зоне подготовки ближе «Кино между адом и раем»?
VGIK-SOUND-00184,removed,низкая ценность или старый автонабор; шаблонный/бесполезный вопрос,Кто автор/составитель «Кино между адом и раем»?
